Date,Longitude,Latitude,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,ATMOSPHERIC_PRESSURE,AirTemp,AirTemperature,BAR_PRESS,CURRENT_AIR_TEMPERATURE1,CURRENT_AIR_TEMPERATURE2,DEW_POINT,DewPtC,Elevation (m),GustSpeedms,HEIGHT_OF_SNOW,HUMIDITY,MAXIMUM_AIR_TEMPERATURE,MAXIMUM_MEASURED_WIND_SPEED1,MAX_TEMP,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,MINIMUM_AIR_TEMPERATURE,MIN_TEMP,ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,ONE_DAY_SNOW,PRECIPITATION_NEW,PRECIP_DETECTOR_RATIO,PRECIP_TOTAL,Precipitation,Pressurembar,RELATIVE_HUMIDITY1,RH,Rain,Rainmm,RelativeHumidity,SNOW_ON_THE_GROUND,STANDARD_SNOW,SWE,SnowDepth,SnowWaterEquivalent,Snow_WE,SolarRadiation,SolarRadiationWm,TEMP_MEAN,TempC,WDIR_VECT,WIND_DIRECTION_STD_DEVIATION1,WSPD_SCLR,Wetness,WindDirection,WindSpeed,WindSpeedms,air_temp,air_temp_1,air_temp_2,air_temperature,air_temperature_yesterday_high,air_temperature_yesterday_low,avg_air_temp_pst1hr,avg_rel_hum_pst1hr,avg_wnd_dir_10m_pst10mts,avg_wnd_spd_10m_pst10mts,cum_pcpn_amt,dew_point,dwpt_temp,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,mean_sea_level,min_air_temp_snc_last_reset,mslp,pcp,pcpn_amt_pst1hr,pcpn_amt_pst24hrs,precipitation,rel_hum,relative_humidity,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,snow_amount,snw_dpth,snw_dpth_wtr_equiv,snwfl_amt_pst1hr,stn_pres,tasmax,tasmin,temperature,tendency_amount,total_precipitation,wind_direction,wind_gust_speed,wind_speed,FIRE_SIZE_HA
2017-06-08,-118.0,49.3,,,,,,,,,,,1397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0999999999999999,,70.45833333333333,,,,,,,,,,14.0,,,161.91666666666666,,8.3125,1.64
2017-06-08,-115.2,49.7,,,,,,,,,,,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499999999999999,,72.25,,,,,,,,,,16.625,,,142.625,,5.833333333333333,34.14
2017-06-09,-124.0,54.0,,,,,,,,,,,638.0,,,77.39583333333333,,,11.5,,,,7.0,2.2,2.2,0.0,,,,,,,,,,,0.0,,,,,,,,9.154166666666669,,,,4.115833333333334,,,,,,,,,,,8.941791666666667,77.19791666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2017-06-13,-119.5,49.9,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5367500000000005,,,,,,,,,,,18.361666666666668,43.26791666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2017-06-14,-120.6,50.6,,,,,,,,,,,1829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,195.70833333333337,,13.916666666666666,0.0
2017-06-16,-121.4,49.4,,,984.2083333333334,,,,12.199583333333337,,10.875,,236.0,,,85.4875,,,,195.8083333333333,1.3569583333333333,,,,,,,,,,,91.41666666666669,,,,,,,,,,,,,12.420833333333334,,,44.84125,1.41125,,,,,,,,,,,12.407275,85.25427916666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2017-06-21,-123.5,48.6,,,983.125,,,,13.064166666666669,,6.0,,340.0,,,,,,,187.92583333333337,5.247041666666667,,,,,,,,,,,62.201249999999995,,,,,,,,,,,,,,,,26.15833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-06-22,-122.1,52.1,,,,,,,,,,,578.0,,,37.94583333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.254166666666668,,,,2.1729166666666666,,,,,,,,,,,15.26625,38.119166666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2017-06-22,-119.3,50.2,,,955.2083333333334,,,,15.812083333333334,,,,570.0,,,,,,,173.41179166666666,8.080833333333333,,,,,,,,,,,37.407916666666665,,,,,,,,,,,,,,,,33.91458333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-06-23,-124.6,49.4,,,1011.25,,,,17.328333333333333,,6.666666666666667,,61.3,,,,,,26.0,204.8325,2.3817083333333335,,7.0,0.0,0.0,0.0,,,,,,53.55791666666667,,,,,0.0,,,,,,,,,,,38.56854166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
