Date,Longitude,Latitude,Year,Month,Season,Elevation (m),FIRE_SIZE_HA
2017-10-20,-123.9,49.0,2017,10,Fall,100.0,0.009
2017-10-24,-126.4,50.4,2017,10,Fall,510.0,0.009
2017-10-29,-119.7,49.8,2017,10,Fall,345.0,0.009
2017-10-30,-125.1,49.6,2017,10,Fall,137.5,0.0
2017-11-06,-123.4,50.6,2017,11,Fall,545.0,0.9
2017-11-09,-117.8,49.3,2017,11,Fall,435.0,0.5
2018-04-06,-115.6,49.6,2018,4,Spring,770.0,0.009
2018-04-11,-119.6,49.5,2018,4,Spring,427.0,6.0
2018-04-23,-117.0,50.2,2018,4,Spring,822.8,1.4
2018-04-25,-121.4,49.4,2018,4,Spring,236.0,0.8
2018-04-26,-121.5,49.4,2018,4,Spring,162.0,0.0
2018-04-28,-117.0,51.3,2018,4,Spring,778.95,0.009
2018-04-30,-119.3,52.9,2018,4,Spring,792.5,0.5
2018-05-01,-122.7,53.9,2018,5,Spring,588.0,1.0
2018-05-04,-117.7,49.1,2018,5,Spring,513.0,0.218
2018-05-06,-121.6,55.7,2018,5,Spring,609.6,30.0
2018-05-07,-120.8,50.1,2018,5,Spring,606.0,7.8
2018-05-08,-115.5,49.5,2018,5,Spring,856.0,0.0
2018-05-09,-121.4,50.4,2018,5,Spring,383.0,0.018
2018-05-10,-121.4,49.7,2018,5,Spring,630.0,1.2
2018-05-11,-127.4,55.1,2018,5,Spring,385.101,0.8
2018-05-11,-120.7,56.2,2018,5,Spring,480.0,0.0
2018-05-12,-127.1,54.7,2018,5,Spring,510.0,0.009
2018-05-12,-117.7,49.1,2018,5,Spring,513.0,2.56
2018-05-13,-123.5,49.4,2018,5,Spring,34.0,0.018
2018-05-13,-121.9,50.7,2018,5,Spring,390.0,0.018
2018-05-13,-121.6,55.7,2018,5,Spring,609.6,1.7
2018-05-14,-123.2,49.5,2018,5,Spring,1280.0,1.8
2018-05-14,-122.7,53.8,2018,5,Spring,582.75,0.009
2018-05-14,-120.7,56.2,2018,5,Spring,480.0,0.0
2018-05-14,-120.2,50.6,2018,5,Spring,640.0,1.8
2018-05-15,-127.1,54.7,2018,5,Spring,510.0,0.009
2018-05-15,-120.5,55.9,2018,5,Spring,696.0,0.009
2018-05-16,-120.5,55.9,2018,5,Spring,696.0,0.009
2018-05-17,-121.2,49.6,2018,5,Spring,1685.0,0.0
2018-05-19,-126.6,54.4,2018,5,Spring,601.0,0.0
2018-05-19,-123.8,54.2,2018,5,Spring,850.0,630.0
2018-05-19,-120.6,49.5,2018,5,Spring,830.0,0.009
2018-05-20,-123.6,48.6,2018,5,Spring,138.0,0.0
2018-05-20,-122.5,52.0,2018,5,Spring,884.0,0.018
2018-05-20,-118.5,50.4,2018,5,Spring,675.0,0.009
2018-05-20,-115.1,49.5,2018,5,Spring,1000.0,0.009
2018-05-21,-123.4,50.2,2018,5,Spring,1340.0,0.0
2018-05-21,-123.3,50.1,2018,5,Spring,1592.0,0.0
2018-05-21,-121.6,49.2,2018,5,Spring,1400.0,0.0
2018-05-21,-119.3,50.2,2018,5,Spring,570.0,0.009
2018-05-22,-124.8,49.3,2018,5,Spring,21.0,0.6
2018-05-24,-122.1,52.1,2018,5,Spring,578.0,1.0
2018-05-25,-124.2,55.6,2018,5,Spring,1047.0,0.0
2018-05-25,-122.8,54.0,2018,5,Spring,750.0,0.009
2018-05-25,-120.9,56.2,2018,5,Spring,704.0227381920964,0.0
2018-05-25,-119.2,53.0,2018,5,Spring,944.0,0.0
